hotel_id,destination_id,name,price_per_night_INR,rating,latitude,longitude
1,1,Taj Coromandel,18000,4.8,13.0581516,80.2475187
2,1,ITC Grand Chola,16500,4.7,13.0104846,80.2206085
3,1,The Leela Palace Chennai,15000,4.6,13.0169696,80.2738715
4,1,Radisson Blu City Centre,6500,4.5,13.075971,80.288137
5,1,Hyatt Regency Chennai,6000,4.4,13.04292,80.2486373
6,1,ibis Chennai OMR,5500,4.3,12.8311383,80.2305743
7,1,Ginger Chennai,5000,4.2,12.990989,80.242128
8,1,Hotel Savera,1800,4.1,13.0460029,80.2612636
9,1,Treebo Trend Mount Road,1800,4.0,13.105082,80.254498
10,1,Zostel Chennai,1800,3.9,13.0462016,80.2517696
11,2,Vivanta Coimbatore,18000,4.8,11.0022468,76.973465
12,2,Radisson Blu Coimbatore,16500,4.7,11.049555,76.933329
13,2,The Residency Towers,15000,4.6,10.97006,76.973434
14,2,Fairfield by Marriott,6500,4.5,10.973667,76.972695
15,2,Zone by The Park,6000,4.4,11.029536,76.971811
16,2,ibis Coimbatore,5500,4.3,11.004796,76.918008
17,2,Ginger Coimbatore,5000,4.2,11.0807651,76.9427143
18,2,Hotel CAG Pride,1800,4.1,11.0163385,76.970776
19,2,Treebo Trend ESS Grande,1800,4.0,11.040153,76.931368
20,2,Zostel Coimbatore,1800,3.9,11.055489,76.925083
21,3,Heritage Madurai,18000,4.8,9.9350051,78.087271
22,3,Gateway Hotel Pasumalai,16500,4.7,9.9001858,78.0835156
23,3,Fortune Pandiyan,15000,4.6,9.9394365,78.13746
24,3,JC Residency,6500,4.5,9.9374784,78.1325723
25,3,Regency Madurai,6000,4.4,9.9048055,78.0966241
26,3,Royal Court Hotel,5500,4.3,9.9209667,78.1119089
27,3,Hotel Supreme,5000,4.2,9.9205446,78.1124631
28,3,Hotel Park Plaza,1800,4.1,9.9212395,78.1124215
29,3,Treebo Trend Madurai,1800,4.0,9.958397,78.138243
30,3,Zostel Madurai,1800,3.9,9.943619,78.10738
31,4,Savoy Ooty,18000,4.8,11.4149495,76.6930665
32,4,Sterling Ooty Fern Hill,16500,4.7,11.436924,76.697988
33,4,Sinclairs Retreat Ooty,15000,4.6,11.391418,76.678312
34,4,Fortune Resort Sullivan Court,6500,4.5,11.4076804,76.7111051
35,4,Gem Park Ooty,6000,4.4,11.38778,76.713872
36,4,Hotel Lakeview,5500,4.3,11.4037855,76.6783459
37,4,Yantra Resort,5000,4.2,11.406846,76.697949
38,4,Mango Hill Central,1800,4.1,11.392856,76.712052
39,4,Treebo Trend Ooty,1800,4.0,11.393351,76.669835
40,4,Zostel Ooty,1800,3.9,11.404875,76.669964
41,5,The Carlton Kodaikanal,18000,4.8,10.2344392,77.4881877
42,5,Sterling Kodai Valley,16500,4.7,10.22269,77.471998
43,5,Kodai Resort Hotel,15000,4.6,10.245193,77.476996
44,5,Hill Country Resort,6500,4.5,10.251581,77.489468
45,5,Hotel Hilltop Towers,6000,4.4,10.2359006,77.490692
46,5,JC Residency Kodai,5500,4.3,10.231142,77.491979
47,5,Villa Retreat,5000,4.2,10.230176,77.476175
48,5,Hotel Apple Valley,1800,4.1,10.2369909,77.4956713
49,5,Treebo Trend Kodai,1800,4.0,10.256702,77.486801
50,5,Zostel Kodaikanal,1800,3.9,10.2454378,77.4977467
51,6,Hyatt Place Rameswaram,18000,4.8,9.2863281,79.3001155
52,6,Hotel Daiwik,16500,4.7,9.2850835,79.294849
53,6,Jiwan Residency,15000,4.6,9.281853,79.309225
54,6,Royal Park Rameswaram,6500,4.5,9.284465,79.318091
55,6,Hotel Ashoka,6000,4.4,9.283244,79.295455
56,6,Hotel NNP Grand,5500,4.3,9.291504,79.313509
57,6,Hotel SS Grand,5000,4.2,9.288362,79.310092
58,6,Hotel Brindavan,1800,4.1,9.2906,79.29706
59,6,Hotel Pearl Residency,1800,4.0,9.306471,79.307896
60,6,Hotel Temple View,1800,3.9,9.292236,79.315889
61,7,The Gopinivas Grand,18000,4.8,8.0827007,77.5510267
62,7,Hotel Sea View,16500,4.7,8.082379,77.5513384
63,7,Annai Resorts,15000,4.6,8.069768,77.533901
64,7,Sparsa Resort,6500,4.5,8.097645,77.531757
65,7,Hotel Ocean Heritage,6000,4.4,8.0832092,77.5510525
66,7,Hotel Melody Park,5500,4.3,8.0834646,77.5510461
67,7,Hotel Sun Rock,5000,4.2,8.0827195,77.5502917
68,7,Hotel Wins,1800,4.1,8.076553,77.54736
69,7,Hotel Blue Sea,1800,4.0,8.0809916,77.5503529
70,7,Hotel Chitra,1800,3.9,8.074799,77.549372
71,8,Ideal River View Resort,18000,4.8,10.8207572,79.1127902
72,8,Svatma Thanjavur,16500,4.7,10.774686,79.136201
73,8,Hotel Gnanam,15000,4.6,10.7865758,79.139055
74,8,Hotel Parisutham,6500,4.5,10.783186,79.1403156
75,8,Hotel Victoriyah,6000,4.4,10.809647,79.132289
76,8,Hotel Kra Residency,5500,4.3,10.782922,79.125853
77,8,Hotel Abirami,5000,4.2,10.806787,79.147132
78,8,Hotel Star Residency,1800,4.1,10.794396,79.11865
79,8,Hotel Yagappa,1800,4.0,10.788836,79.132696
80,8,Hotel Temple City,1800,3.9,10.808251,79.119546
81,9,Courtyard by Marriott Trichy,18000,4.8,10.8040382,78.6770369
82,9,Grand Gardenia,16500,4.7,10.794593,78.693834
83,9,SRM Hotel,15000,4.6,10.8134241,78.7070945
84,9,Hotel Sangam,6500,4.5,10.823677,78.692039
85,9,Hotel Rockfort View,6000,4.4,10.820628,78.720932
86,9,Hotel Royal Sathyam,5500,4.3,10.8236408,78.694491
87,9,Hotel Apple Park,5000,4.2,10.8380101,78.6882229
88,9,Hotel Kannappa,1800,4.1,10.7856446,78.6890956
89,9,Hotel Mayas,1800,4.0,10.8340004,78.6930254
90,9,Hotel Plaza,1800,3.9,10.820741,78.71338
91,10,Radisson Salem,18000,4.8,11.691867,78.1147357
92,10,CJ Pallazzio,16500,4.7,11.6761422,78.1284285
93,10,Sivaraj Holiday Inn,15000,4.6,11.701931,78.141858
94,10,Hotel Grand Estancia,6500,4.5,11.6831708,78.1256932
95,10,Hotel Windsor Castle,6000,4.4,11.6673351,78.1515477
96,10,Hotel Pearls,5500,4.3,11.665428,78.113613
97,10,Hotel Hong Kong Inn,5000,4.2,11.631025,78.167459
98,10,Hotel Royal Castle,1800,4.1,11.690317,78.130011
99,10,Hotel Selvam,1800,4.0,11.7816662,78.2118407
100,10,Hotel Salem Castle,1800,3.9,11.673699,78.142084
101,11,Sterling Yercaud,18000,4.8,11.775469,78.221293
102,11,Great Trails Yercaud,16500,4.7,11.7786094,78.1982752
103,11,Cliffton Resort,15000,4.6,11.796762,78.204691
104,11,TGI Star Holidays,6500,4.5,11.792615,78.204778
105,11,Hotel Shevaroys,6000,4.4,11.7835,78.217586
106,11,Hotel Cauvery Peak,5500,4.3,11.769105,78.192212
107,11,Hotel White Huts,5000,4.2,11.769432,78.195081
108,11,Hotel Sri Durga,1800,4.1,11.784636,78.202991
