hotel_id,destination_id,name,price_per_night_INR,rating,latitude,longitude
1,1,Taj Falaknuma Palace,23795,5.0,17.405879,78.495579
2,1,ITC Kohenur,14265,4.6,17.345228,78.519656
3,1,Novotel Hyderabad Airport,4671,3.6,17.39858,78.446777
4,1,Park Hyatt Hyderabad,10433,4.6,17.356506,78.469082
5,1,Taj Krishna,14396,4.7,17.366211,78.496767
6,1,Trident Hyderabad,3547,3.8,17.372973,78.482746
7,1,Hyderabad Marriott Hotel,4234,4.1,17.374422,78.530191
8,1,Sheraton Hyderabad Hotel,3028,3.5,17.394679,78.457047
9,1,The Westin Mindspace,3714,3.5,17.424798,78.492396
10,1,Lemon Tree Gachibowli,3541,3.8,17.34879,78.503281
11,2,Hotel Silver Cloud,2890,4.2,17.9788,79.624088
12,2,Lotus Residency,1534,4.4,17.94719,79.608727
13,2,Sneha Grand Inn,4573,3.9,17.942615,79.600193
14,2,Hotel Suprabha,3000,4.5,17.993662,79.633655
15,2,Haritha Kakatiya,3481,4.4,17.989354,79.578489
16,2,Hotel Ratna,2775,3.5,13.0062788,80.2573202
17,2,City Grand Hotel,1837,4.0,17.976708,79.635973
18,2,Hotel Shreya,3735,4.0,17.936583,79.621298
19,2,Vishnu Residency,1564,3.5,17.962006,79.584639
20,2,Landmark Hotel,4195,3.5,17.997292,79.612717
21,3,Hotel Nikhil Sai International,3198,4.3,18.682036,78.132467
22,3,Hotel Vamshee International,4565,3.6,18.705179,78.105197
23,3,Hotel Kapila,4477,3.6,18.660874,78.109296
24,3,Hotel Mayur,2304,4.2,18.68488,78.128949
25,3,Haritha Indur Inn,2460,3.9,18.714954,78.125502
26,3,Hotel Krishna,2528,4.1,12.9892596,80.1932224
27,3,Hotel Apsara,1892,4.2,18.63748,78.08864
28,3,Hotel City Park,2363,4.1,18.655792,78.094871
29,3,Hotel Swagath,3257,3.6,18.681898,78.097686
30,3,Hotel Nandi,2040,3.7,18.634428,78.075178
31,4,Hotel Swetha,4657,4.4,18.449792,79.110407
32,4,Maitri Residency,4560,4.4,18.46593,79.100591
33,4,Hotel Peacock Pride,3481,4.0,18.46627,79.164448
34,4,Hotel Prathima Regency,4802,4.4,18.418092,79.142092
35,4,Hotel Nawab's,4180,4.3,18.471066,79.084426
36,4,Hotel Srinivasa,2979,4.0,12.9222159,80.1427553
37,4,Hotel Manair,2757,3.8,18.478462,79.112888
38,4,Hotel V Park,3131,4.1,13.066127,80.2422523
39,4,Hotel Kalpana,3989,4.5,12.8203641,80.0454128
40,4,Hotel Tara,4684,3.6,18.483397,79.10781
41,5,Hotel Grand Gayathri,1501,4.0,17.206933,80.131478
42,5,Hotel Vishnu Residency,4796,4.1,17.263563,80.154184
43,5,Hotel Kaveri,4277,4.5,13.0126193,80.2398013
44,5,Hotel Sridhar,1702,3.9,17.224094,80.178683
45,5,Hotel Manorama,4431,4.5,17.238194,80.179879
46,5,Hotel Budget,3691,4.3,12.970773,80.1443682
47,5,Hotel Park,4920,4.4,13.0105862,80.2232935
48,5,Hotel Aditya,2869,4.0,17.222685,80.164466
49,5,Hotel Vamshi,3343,4.4,17.238081,80.152998
50,5,Hotel Geetha,4419,3.6,8.8100714,78.1401619
51,6,Hotel Ravi Teja,3698,4.0,19.694921,78.50757
52,6,Hotel Laxmi Residency,3691,4.3,19.682268,78.534669
53,6,Hotel Dwaraka Residency,3549,4.5,19.719188,78.537246
54,6,Haritha Hotel Adilabad,2683,4.1,19.662813,78.518429
55,6,Hotel Panchavati,4363,4.3,19.709369,78.523406
56,6,Hotel Kamadhenu,3196,4.1,10.7285452,79.0213579
57,6,Hotel Tirumala,2945,4.2,19.684562,78.520505
58,6,Hotel Annapurna,2996,4.2,11.2165389,79.72876
59,6,Hotel Krishna,1837,4.0,12.9892596,80.1932224
60,6,Hotel Sri Krishna,1660,3.5,11.2776153,77.5847677
61,7,Haritha Heritage Hotel,3027,4.1,18.08023,78.277985
62,7,Haritha Hotel Edupayala,4604,4.0,18.049593,78.27607
63,7,Hotel Delhiwala,2545,3.7,18.091371,78.254179
64,7,Hotel Alankar,3985,4.4,11.009903,76.9661668
65,7,Hotel Balaji,3831,4.2,13.0844444,80.2767957
66,7,Hotel Swarna Palace,2315,3.8,18.005988,78.276893
67,7,Hotel Manjeera,1516,4.5,18.046095,78.24396
68,7,Hotel Vijaya,4065,3.9,9.9629456,78.0414334
69,7,Hotel Sai Ram,4044,4.1,18.055306,78.30703
70,7,Hotel Sri Krishna,2639,3.8,11.2776153,77.5847677
71,8,Hotel Mint Park,4827,4.0,16.737342,77.994022
72,8,RNS Residency,4113,4.2,16.755106,77.967246
73,8,Hotel Sindhu,4859,4.2,16.736078,77.981375
74,8,Hotel Ganesh,4037,4.4,12.6187376,80.1942331
75,8,Haritha Hotel Mahabubnagar,1745,3.9,16.730223,78.031343
76,8,Hotel Geetha,3390,3.8,8.8100714,78.1401619
77,8,Hotel Srinivasa,4450,4.0,12.9222159,80.1427553
78,8,Hotel Balaji,4059,3.9,13.0844444,80.2767957
79,8,Hotel Sri Laxmi,2666,3.9,16.712258,78.010545
80,8,Hotel Venkat,2353,3.8,16.717754,78.046866
81,9,Hotel Swagath,3697,4.1,17.015445,79.226761
82,9,Hotel Vamshee,2337,3.8,17.061037,79.252799
83,9,Haritha Nalgonda,3811,4.3,17.032124,79.27946
84,9,Hotel Balaji Grand,2719,4.3,17.030194,79.260422
85,9,Hotel Kanchana,4414,4.1,17.078048,79.311227
86,9,Hotel Sri Krishna,2135,4.2,11.2776153,77.5847677
87,9,Hotel Annapurna,3310,3.9,11.2165389,79.72876
88,9,Hotel Vijaya,1616,3.6,9.9629456,78.0414334
89,9,Hotel Laxmi,3164,3.7,17.026779,79.245922
90,9,Hotel Sai,2641,4.2,12.8337695,80.2281741
91,10,Hotel Redla's Inn,4843,4.0,17.63314,78.075911
92,10,CGR Manjeera Hotel,4408,3.9,17.596296,78.068738
93,10,Hotel Jyothi,2496,3.6,17.604769,78.044962
94,10,Hotel Vamshi,4618,3.5,17.650991,78.100029
95,10,Hotel Sri Krishna,2727,3.5,11.2776153,77.5847677
96,10,Hotel Balaji,3135,3.7,13.0844444,80.2767957
97,10,Hotel Venkateswara,4069,4.4,12.5739017,78.1690279
98,10,Hotel Sai Ram,4309,4.4,17.619094,78.085244
99,10,Hotel Srinivasa,2015,4.1,12.9222159,80.1427553
100,10,Hotel Annapurna,2395,4.1,11.2165389,79.72876
101,11,Haritha Resort Ananthagiri,19938,4.8,17.332843,77.908906
102,11,Deccan Trails,3136,4.1,17.365438,77.918434
103,11,Hotel R Banquets,2566,3.7,17.297843,77.86887
104,11,Anantha Deluxe Lodge,4824,3.6,17.353071,77.866207
105,11,Hotel Prabhat,2275,3.9,17.352945,77.890456
106,11,Hotel Sri Krishna,1614,3.8,11.2776153,77.5847677
107,11,Hotel Balaji,3016,4.4,13.0844444,80.2767957
108,11,Hotel Sai Ram,4568,3.8,17.30757,77.927355
109,11,Hotel Vijaya,3739,4.1,9.9629456,78.0414334
110,11,Hotel Srinivasa,2508,4.3,12.9222159,80.1427553
111,12,Hotel NorthInn,1536,3.7,18.884086,79.485492
112,12,Hotel A1,4414,3.6,10.7918101,78.7655079
113,12,Hotel Ramasudha,3403,3.9,18.849687,79.427899
114,12,Hotel Vaibhav,3135,3.5,18.904384,79.427116
115,12,Hotel Sneha,4002,4.5,13.0835708,80.2782735
116,12,Hotel Sri Krishna,2890,3.6,11.2776153,77.5847677
117,12,Hotel Balaji,4495,4.2,13.0844444,80.2767957
118,12,Hotel Laxmi,4116,3.6,18.906684,79.506582
119,12,Hotel Sai,3945,4.0,12.8337695,80.2281741
120,12,Hotel Venkateswara,1734,4.2,12.5739017,78.1690279
121,13,Hotel PMR Grand,2453,4.1,18.749101,78.87457
122,13,Hotel LG Ram,3176,3.7,18.775699,78.947271
123,13,Hotel Swagath,2717,3.6,18.747635,78.955798
124,13,Hotel Annapurna,3019,4.4,11.2165389,79.72876
125,13,Hotel Sri Krishna,4898,4.5,11.2776153,77.5847677
126,13,Hotel Balaji,4986,4.0,13.0844444,80.2767957
