place_id,destination_id,travel_type_id,place_name,latitude,longitude,entry_fee,avg_time_minutes
1,1,4,Charminar,17.389,78.4907,0,50
2,1,4,Golconda Fort,17.393,78.4947,0,55
3,1,4,Salar Jung Museum,17.397,78.4987,20,60
4,1,1,Hussain Sagar Lake,17.401,78.5027,0,65
5,1,4,Birla Mandir,17.405,78.5067,0,70
6,1,4,Qutb Shahi Tombs,17.409,78.5107,20,75
7,1,1,Lumbini Park,17.413,78.5147,0,80
8,1,4,Ramoji Film City,17.417,78.5187,0,85
9,1,5,Jubilee Hills Cafes,17.421,78.5227,20,90
10,1,5,Tank Bund Night View,17.425,78.5267,0,95
11,2,4,Warangal Fort,17.9729,79.5981,0,50
12,2,4,Thousand Pillar Temple,17.9769,79.6021,0,55
13,2,4,Bhadrakali Temple,17.9809,79.6061,20,60
14,2,1,Bhadrakali Lake,17.9849,79.6101,0,65
15,2,4,Ramappa Temple,17.9889,79.6141,0,70
16,2,1,Pakhal Lake,17.9929,79.6181,20,75
17,2,1,Laknavaram Lake,17.9969,79.6221,0,80
18,2,1,Ekashila Rock Garden,18.0009,79.6261,0,85
19,2,1,Kakatiya Musical Garden,18.0049,79.6301,20,90
20,2,5,Warangal Night Food Street,18.0089,79.6341,0,95
21,3,4,Nizamabad Fort,18.6765,78.0981,0,50
22,3,1,Ali Sagar Reservoir,18.6805,78.1021,0,55
23,3,4,Kanteshwar Temple,18.6845,78.1061,20,60
24,3,1,Nizam Sagar Dam,18.6885,78.1101,0,65
25,3,1,Pocharam Wildlife Sanctuary,18.6925,78.1141,0,70
26,3,1,Ashok Sagar Lake,18.6965,78.1181,20,75
27,3,4,Armoor Jain Temple,18.7005,78.1221,0,80
28,3,4,Local Heritage Streets,18.7045,78.1261,0,85
29,3,1,City Central Park,18.7085,78.1301,20,90
30,3,5,Nizamabad Night Market,18.7125,78.1341,0,95
31,4,4,Elgandal Fort,18.4426,79.1328,0,50
32,4,1,Lower Manair Dam,18.4466,79.1368,0,55
33,4,1,Rajiv Gandhi Deer Park,18.4506,79.1408,20,60
34,4,4,Vemulawada Temple,18.4546,79.1448,0,65
35,4,1,Ujjwala Park,18.4586,79.1488,0,70
36,4,4,Archaeological Museum,18.4626,79.1528,20,75
37,4,1,River Walk Area,18.4666,79.1568,0,80
38,4,1,Boat Club Area,18.4706,79.1608,0,85
39,4,5,Evening Food Street,18.4746,79.1648,20,90
40,4,4,Handicrafts Market,18.4786,79.1688,0,95
41,5,4,Khammam Fort,17.2513,80.1554,0,50
42,5,1,Lakaram Lake,17.2553,80.1594,0,55
43,5,1,Papi Hills View,17.2593,80.1634,20,60
44,5,1,Kinnerasani Sanctuary,17.2633,80.1674,0,65
45,5,4,Sri Venkateswara Temple,17.2673,80.1714,0,70
46,5,1,River Boating Area,17.2713,80.1754,20,75
47,5,1,Forest View Point,17.2753,80.1794,0,80
48,5,4,Local Museum,17.2793,80.1834,0,85
49,5,5,Night Food Street,17.2833,80.1874,20,90
50,5,4,Historic Town Area,17.2873,80.1914,0,95
51,6,1,Kuntala Waterfalls,19.0844,78.3478,0,50
52,6,1,Pochera Waterfalls,19.0884,78.3518,0,55
53,6,1,Kawal Tiger Reserve,19.0924,78.3558,20,60
54,6,4,Basar Saraswati Temple,19.0964,78.3598,0,65
55,6,1,Godavari River View,19.1004,78.3638,0,70
56,6,2,Forest Trek Route,19.1044,78.3678,20,75
57,6,1,Hill View Point,19.1084,78.3718,0,80
58,6,4,Tribal Museum,19.1124,78.3758,0,85
59,6,1,Eco Park,19.1164,78.3798,20,90
60,6,5,Local Evening Market,19.1204,78.3838,0,95
61,7,4,Medak Cathedral,18.0493,78.2687,0,50
62,7,4,Medak Fort Hill,18.0533,78.2727,0,55
63,7,1,Pocharam Sanctuary,18.0573,78.2767,20,60
64,7,4,Edupayala Temple,18.0613,78.2807,0,65
65,7,1,Lake View Point,18.0653,78.2847,0,70
66,7,4,Heritage Streets,18.0693,78.2887,20,75
67,7,1,Boating Spot,18.0733,78.2927,0,80
68,7,1,Sunset View Point,18.0773,78.2967,0,85
69,7,5,Night Food Area,18.0813,78.3007,20,90
70,7,4,Ancient Rock Formations,18.0853,78.3047,0,95
71,8,4,Gadwal Fort,16.7479,77.9896,0,50
72,8,1,Koilsagar Reservoir,16.7519,77.9936,0,55
73,8,1,Jurala Dam,16.7559,77.9976,20,60
74,8,4,Pillalamarri Banyan Tree,16.7599,78.0016,0,65
75,8,4,Local Museum,16.7639,78.0056,0,70
76,8,1,Nature Park,16.7679,78.0096,20,75
77,8,4,Ancient Temple Area,16.7719,78.0136,0,80
78,8,5,Evening Food Street,16.7759,78.0176,0,85
79,8,1,River View Area,16.7799,78.0216,20,90
80,8,4,Handloom Market,16.7839,78.0256,0,95
81,9,4,Bhongir Fort,17.0615,79.2724,0,50
82,9,4,Panagal Jain Temple,17.0655,79.2764,0,55
83,9,1,Nagarjuna Sagar Dam,17.0695,79.2804,20,60
84,9,1,Ethipothala Waterfalls,17.0735,79.2844,0,65
85,9,4,Buddhist Museum,17.0775,79.2884,0,70
86,9,1,Hill View Point,17.0815,79.2924,20,75
87,9,1,River View Area,17.0855,79.2964,0,80
88,9,4,Heritage Street Walk,17.0895,79.3004,0,85
89,9,1,Sunset Point,17.0935,79.3044,20,90
90,9,5,Local Evening Market,17.0975,79.3084,0,95
91,10,1,Singur Dam,17.6288,78.0906,0,50
92,10,1,Manjeera Sanctuary,17.6328,78.0946,0,55
93,10,1,Lake View Park,17.6368,78.0986,20,60
94,10,4,Heritage Temple Area,17.6408,78.1026,0,65
95,10,4,Old Fort Ruins,17.6448,78.1066,0,70
96,10,1,Nature Walk Trail,17.6488,78.1106,20,75
97,10,1,Sunset Point,17.6528,78.1146,0,80
98,10,4,Local Museum,17.6568,78.1186,0,85
99,10,5,Night Food Area,17.6608,78.1226,20,90
100,10,4,Town Heritage Streets,17.6648,78.1266,0,95
101,11,1,Ananthagiri Hills,17.342,77.9084,0,50
102,11,1,Kotepally Reservoir,17.346,77.9124,0,55
