state,city,hotel_name,hotel_category,avg_price_per_night_inr,latitude,longitude,rating
Andhra Pradesh,Visakhapatnam,Novotel Visakhapatnam Varun Beach,luxury,9000,17.712300,83.318900,4.6
Andhra Pradesh,Visakhapatnam,The Park Visakhapatnam,luxury,8500,17.711900,83.319800,4.5
Andhra Pradesh,Visakhapatnam,Ramada by Wyndham Vizag,luxury,7500,17.726800,83.305300,4.4
Andhra Pradesh,Visakhapatnam,Four Points by Sheraton,mid-range,6000,17.716900,83.301200,4.3
Andhra Pradesh,Visakhapatnam,Keys Select Hotel,mid-range,4200,17.733200,83.316400,4.1
Andhra Pradesh,Visakhapatnam,Dolphin Hotel,mid-range,4800,17.724600,83.305100,4.2
Andhra Pradesh,Visakhapatnam,Hotel Daspalla,luxury,8200,17.712900,83.300600,4.5
Andhra Pradesh,Visakhapatnam,Treebo Trend MVP Grand,budget,2200,17.739800,83.318200,3.9
Andhra Pradesh,Visakhapatnam,Hotel Meghalaya,budget,2000,17.712400,83.305700,3.8
Andhra Pradesh,Visakhapatnam,OYO Townhouse Vizag,budget,1800,17.721100,83.309800,3.7
Andhra Pradesh,Vijayawada,Novotel Vijayawada Varun,luxury,8800,16.506200,80.628900,4.6
Andhra Pradesh,Vijayawada,Hyatt Place Vijayawada,luxury,9200,16.497900,80.664300,4.7
Andhra Pradesh,Vijayawada,Quality Hotel DV Manor,mid-range,5500,16.511300,80.624700,4.4
Andhra Pradesh,Vijayawada,Hotel Ilapuram,mid-range,4500,16.509600,80.623800,4.1
Andhra Pradesh,Vijayawada,Hotel Aira,luxury,7800,16.507200,80.651300,4.5
Andhra Pradesh,Vijayawada,Treebo Trend Kosala,budget,2100,16.512800,80.621900,3.8
Andhra Pradesh,Vijayawada,Hotel Southern Grand,mid-range,4800,16.504100,80.623200,4.0
Andhra Pradesh,Vijayawada,OYO Capital O,budget,1900,16.506600,80.620500,3.7
Andhra Pradesh,Vijayawada,Hotel Midcity,budget,1700,16.512100,80.629900,3.6
