state,city,hotel_name,hotel_category,avg_price_per_night_inr,latitude,longitude,rating
Goa,Panaji,Goa Marriott Resort & Spa,luxury,14000,15.502400,73.829900,4.6
Goa,Panaji,Grand Hyatt Goa,luxury,15000,15.463900,73.807300,4.7
Goa,Panaji,Country Inn & Suites Panaji,mid-range,6500,15.499100,73.828400,4.3
Goa,Panaji,Hotel Mandovi,mid-range,5200,15.498300,73.827900,4.1
Goa,Panaji,The Crown Goa,mid-range,6000,15.501200,73.829400,4.2
Goa,Panaji,Hotel Manvin's,budget,2800,15.498900,73.826800,3.8
Goa,Panaji,Hotel Viva Panjim,budget,3000,15.496700,73.827600,4.0
Goa,Panaji,OYO Panaji Central,budget,2000,15.499800,73.828100,3.6
Goa,Panaji,Treebo Trend Sunheads,budget,2300,15.500600,73.826300,3.7
Goa,Panaji,Hotel Venite,budget,1800,15.497200,73.829100,3.5
Goa,Calangute,Taj Fort Aguada Resort & Spa,luxury,18000,15.495600,73.773900,4.8
Goa,Calangute,Le Méridien Goa,luxury,16000,15.522800,73.774300,4.6
Goa,Calangute,Hard Rock Hotel Goa,mid-range,8500,15.557600,73.752900,4.4
Goa,Calangute,Resort Terra Paraiso,mid-range,6500,15.544200,73.758100,4.2
Goa,Calangute,Azzure By Spree,mid-range,6000,15.548900,73.754600,4.1
Goa,Calangute,Hotel Calangute Towers,budget,3200,15.543700,73.756800,3.9
Goa,Calangute,La Flamingo,budget,2800,15.550100,73.753200,3.8
Goa,Calangute,OYO Flagship Calangute,budget,2000,15.546900,73.755900,3.6
Goa,Calangute,Treebo Trend Dona Eliza,budget,2400,15.552200,73.757400,3.7
Goa,Calangute,Hotel Sea Shore,budget,1800,15.548200,73.754100,3.5
Goa,Candolim,Seashell Suites & Villas,luxury,14000,15.520400,73.765900,4.7
Goa,Candolim,Taj Holiday Village,luxury,17000,15.518300,73.763200,4.8
Goa,Candolim,Novotel Goa Candolim,mid-range,9000,15.520700,73.771300,4.4
Goa,Candolim,Fortune Acron Regina,mid-range,7500,15.518900,73.761400,4.3
Goa,Candolim,Santana Beach Resort,mid-range,6200,15.515600,73.762800,4.2
Goa,Candolim,Hotel Sonesta Inns,budget,3200,15.517700,73.764300,3.9
Goa,Candolim,Silver Sands Serenity,budget,2800,15.516200,73.760900,3.8
Goa,Candolim,OYO Candolim Beach Road,budget,2000,15.518600,73.763700,3.6
Goa,Candolim,Treebo Trend Jesant Valley,budget,2400,15.519800,73.765100,3.7
Goa,Candolim,Hotel Casa De Goa,budget,2600,15.520100,73.762300,3.8
Goa,Mapusa,The Crown of North Goa,luxury,9000,15.590900,73.814700,4.4
Goa,Mapusa,Hotel Green Park,mid-range,5200,15.591800,73.812900,4.1
Goa,Mapusa,Hotel Royale Heritage,mid-range,4800,15.589700,73.811300,4.0
Goa,Mapusa,Treebo Trend La Paz,budget,2600,15.590300,73.813500,3.8
Goa,Mapusa,Hotel Sharayu,budget,2300,15.592200,73.814200,3.7
Goa,Mapusa,OYO Mapusa Central,budget,2000,15.591400,73.812100,3.6
Goa,Mapusa,Hotel Alankar,budget,1800,15.589900,73.810800,3.5
Goa,Mapusa,Hotel Menino,budget,1700,15.590700,73.813900,3.4
Goa,Mapusa,Hotel Mapusa Residency,mid-range,4200,15.592800,73.815400,4.0
