state,city,hotel_name,hotel_category,avg_price_per_night_inr,latitude,longitude,rating
Karnataka,Bengaluru,Grand Lodge Bengaluru,luxury,7481,13.001256,77.611516,3.8
Karnataka,Bengaluru,Royal Suites Bengaluru,mid-range,4325,13.006209,77.576092,3.6
Karnataka,Bengaluru,Emerald Resort Bengaluru,mid-range,5716,12.978036,77.631041,3.3
Karnataka,Bengaluru,Heritage Lodge Bengaluru,budget,1960,12.924917,77.546341,3.3
Karnataka,Bengaluru,Blue Hotel Bengaluru,luxury,1500,12.953641,77.545295,4.7
Karnataka,Bengaluru,Palm Suites Bengaluru,luxury,8771,12.935691,77.549971,4.4
Karnataka,Bengaluru,Imperial Resort Bengaluru,mid-range,2982,12.978302,77.641485,4.4
Karnataka,Bengaluru,Boutique Suites Bengaluru,luxury,7763,12.952273,77.599202,3.2
Karnataka,Bengaluru,Sunset Hotel Bengaluru,budget,762,12.962467,77.565084,4.4
Karnataka,Bengaluru,Ocean Hotel Bengaluru,luxury,14214,12.953146,77.624997,4.7
Karnataka,Mysuru,Grand Suites Mysuru,mid-range,3464,12.26671,76.664824,4.4
Karnataka,Mysuru,Royal Suites Mysuru,budget,1398,12.257667,76.663314,3.1
Karnataka,Mysuru,Emerald Inn Mysuru,budget,1725,12.251881,76.683531,3.1
Karnataka,Mysuru,Heritage Resort Mysuru,mid-range,4104,12.27014,76.619897,3.7
Karnataka,Mysuru,Blue Resort Mysuru,budget,1247,12.289555,76.59822,4.2
Karnataka,Mysuru,Palm Lodge Mysuru,budget,1603,12.314036,76.652665,3.6
Karnataka,Mysuru,Imperial Resort Mysuru,luxury,9645,12.291671,76.635411,3.9
Karnataka,Mysuru,Boutique Resort Mysuru,luxury,10341,12.289975,76.633658,4.6
Karnataka,Mysuru,Sunset Suites Mysuru,luxury,4133,12.255259,76.626933,3.6
Karnataka,Mysuru,Ocean Inn Mysuru,mid-range,3120,12.310441,76.616553,3.8
Karnataka,Hampi,Grand Lodge Hampi,budget,1201,15.365627,76.434802,3.8
Karnataka,Hampi,Royal Suites Hampi,budget,1944,15.337892,76.462476,3.5
Karnataka,Hampi,Emerald Suites Hampi,budget,1606,15.348097,76.452233,4.8
Karnataka,Hampi,Heritage Resort Hampi,luxury,9962,15.384415,76.50043,4.6
Karnataka,Hampi,Blue Lodge Hampi,luxury,13869,15.304092,76.477947,3.2
Karnataka,Hampi,Palm Suites Hampi,budget,1107,15.335104,76.446104,4.0
Karnataka,Hampi,Imperial Lodge Hampi,budget,1699,15.302516,76.496208,3.5
Karnataka,Hampi,Boutique Hotel Hampi,mid-range,5425,15.296191,76.45856,4.6
Karnataka,Hampi,Sunset Hotel Hampi,luxury,8653,15.357395,76.428212,3.1
Karnataka,Hampi,Ocean Lodge Hampi,luxury,10925,15.363205,76.476549,3.8
Karnataka,Gokarna,Grand Hotel Gokarna,budget,1380,14.515047,74.363051,3.5
Karnataka,Gokarna,Royal Hotel Gokarna,budget,1477,14.505594,74.351411,4.4
Karnataka,Gokarna,Emerald Lodge Gokarna,luxury,9160,14.527901,74.338296,3.4
Karnataka,Gokarna,Heritage Resort Gokarna,luxury,5524,14.567647,74.35932,4.3
Karnataka,Gokarna,Blue Lodge Gokarna,mid-range,3401,14.580333,74.359567,4.9
Karnataka,Gokarna,Palm Inn Gokarna,budget,1292,14.557785,74.333751,5.0
Karnataka,Gokarna,Imperial Suites Gokarna,mid-range,4398,14.545695,74.307786,3.1
Karnataka,Gokarna,Boutique Lodge Gokarna,mid-range,2715,14.524183,74.28697,4.6
Karnataka,Gokarna,Sunset Suites Gokarna,budget,1200,14.591186,74.365333,4.2
Karnataka,Gokarna,Ocean Resort Gokarna,mid-range,4291,14.573179,74.323451,3.5
Karnataka,Coorg,Grand Resort Coorg,budget,1845,12.391264,75.729639,3.1
Karnataka,Coorg,Royal Suites Coorg,luxury,5239,12.415165,75.738225,3.2
Karnataka,Coorg,Emerald Inn Coorg,luxury,10551,12.387309,75.786056,4.2
Karnataka,Coorg,Heritage Resort Coorg,budget,957,12.414327,75.69709,4.7
Karnataka,Coorg,Blue Suites Coorg,mid-range,4534,12.382989,75.77044,4.9
Karnataka,Coorg,Palm Suites Coorg,mid-range,5338,12.378352,75.733226,3.5
Karnataka,Coorg,Imperial Suites Coorg,luxury,2946,12.464477,75.697793,4.1
Karnataka,Coorg,Boutique Lodge Coorg,budget,1786,12.421867,75.719114,3.5
Karnataka,Coorg,Sunset Suites Coorg,luxury,5451,12.400911,75.785373,4.6
Karnataka,Coorg,Ocean Hotel Coorg,mid-range,4947,12.445391,75.739786,3.9
Karnataka,Mangaluru,Grand Inn Mangaluru,mid-range,5040,12.916776,74.903547,4.7
Karnataka,Mangaluru,Royal Inn Mangaluru,budget,1783,12.962895,74.84872,3.4
Karnataka,Mangaluru,Emerald Lodge Mangaluru,budget,1089,12.905407,74.854626,4.1
Karnataka,Mangaluru,Heritage Hotel Mangaluru,luxury,13575,12.914033,74.832609,3.6
Karnataka,Mangaluru,Blue Inn Mangaluru,luxury,1829,12.916847,74.818002,4.1
Karnataka,Mangaluru,Palm Lodge Mangaluru,budget,549,12.950912,74.874412,4.2
Karnataka,Mangaluru,Imperial Suites Mangaluru,budget,824,12.937433,74.896455,4.7
Karnataka,Mangaluru,Boutique Suites Mangaluru,budget,1390,12.916976,74.867315,4.0
Karnataka,Mangaluru,Sunset Suites Mangaluru,budget,1337,12.909862,74.890236,4.4
Karnataka,Mangaluru,Ocean Suites Mangaluru,luxury,7544,12.87943,74.828018,3.6
