state,city,place_name,category,description,latitude,longitude,entry_fee,avg_visit_duration_minutes
Karnataka,Bengaluru,Lalbagh Botanical Garden,nature,Historic garden with glasshouse,12.9507,77.5848,INR 25,120
Karnataka,Bengaluru,Cubbon Park,nature,Large green park in the city center,12.9779,77.5952,Free,90
Karnataka,Bengaluru,Bangalore Palace,heritage,Tudor-style historic palace,12.9988,77.5921,INR 230,120
Karnataka,Bengaluru,Nandi Hills,nature,Hill fortress and sunrise viewpoint,13.3702,77.6828,INR 20,180
Karnataka,Bengaluru,Vidhana Soudha,heritage,State legislature building,12.9796,77.5906,Free,60
Karnataka,Bengaluru,Bengaluru Attraction 1,nature,Popular attraction in Bengaluru,13.281117588817471,76.10584702957097,Free,60
Karnataka,Bengaluru,Bengaluru Attraction 2,nature,Popular attraction in Bengaluru,13.209801190408426,75.58909787292221,Free,60
Karnataka,Bengaluru,Bengaluru Attraction 3,nature,Popular attraction in Bengaluru,13.130714415873904,76.48081070222446,Free,60
Karnataka,Bengaluru,Bengaluru Attraction 4,nature,Popular attraction in Bengaluru,12.923405172359756,75.61240308334735,Free,60
Karnataka,Bengaluru,Bengaluru Attraction 5,nature,Popular attraction in Bengaluru,13.458266445365842,76.17598218492171,Free,60
Karnataka,Coorg,Abbey Falls,nature,Beautiful cascading waterfall,12.4633,75.718,INR 15,60
Karnataka,Coorg,Raja's Seat,nature,Seasonal garden of flowers and artificial fountains,12.4172,75.7364,INR 20,60
Karnataka,Coorg,Dubare Elephant Camp,nature,Elephant training camp on the banks of Kaveri,12.3667,75.85,INR 100,150
Karnataka,Coorg,Talakaveri,temple,Source of the river Kaveri,12.3842,75.4912,Free,90
Karnataka,Coorg,Coorg Attraction 1,nature,Popular attraction in Coorg,12.697192735944945,76.1720592565268,Free,60
Karnataka,Coorg,Coorg Attraction 2,nature,Popular attraction in Coorg,13.492741627736592,75.7094854740065,Free,60
Karnataka,Coorg,Coorg Attraction 3,nature,Popular attraction in Coorg,13.353859798512534,76.19891078522735,Free,60
Karnataka,Coorg,Coorg Attraction 4,nature,Popular attraction in Coorg,12.721675027576785,75.68477173225526,Free,60
Karnataka,Coorg,Coorg Attraction 5,nature,Popular attraction in Coorg,13.454157032180513,75.84043752760401,Free,60
Karnataka,Coorg,Coorg Attraction 6,nature,Popular attraction in Coorg,12.941394499019454,76.1560873517444,Free,60
Karnataka,Gokarna,Om Beach,beach,Famous beach shaped like Om,14.519,74.3168,Free,180
Karnataka,Gokarna,Kudle Beach,beach,Popular scenic beach with cafes,14.5262,74.315,Free,180
Karnataka,Gokarna,Mahabaleshwar Temple,temple,Ancient Shiva temple,14.5376,74.3181,Free,60
