state,city,hotel_name,hotel_category,avg_price_per_night_inr,latitude,longitude,rating
Kerala,Alleppey,Sunrise Lodge Alleppey,luxury,10196,9.495037,76.340567,5.0
Kerala,Alleppey,Majestic Suites Alleppey,budget,855,9.479649,76.323647,3.2
Kerala,Alleppey,Emerald Inn Alleppey,mid-range,4260,9.485117,76.339636,4.3
Kerala,Alleppey,Valley Retreat Alleppey,luxury,13991,9.508145,76.319792,4.8
Kerala,Alleppey,Emerald Retreat Alleppey,mid-range,4913,9.487413,76.354251,4.5
Kerala,Alleppey,Majestic Hotel Alleppey,mid-range,2017,9.501543,76.356472,3.7
Kerala,Alleppey,Premium Resort Alleppey,mid-range,3557,9.512761,76.325674,4.1
Kerala,Alleppey,Royal Resort Alleppey,mid-range,3298,9.478773,76.339292,4.4
Kerala,Alleppey,Imperial Lodge Alleppey,budget,549,9.498523,76.347276,3.5
Kerala,Alleppey,Valley Lodge Alleppey,luxury,6457,9.489756,76.347271,4.6
Kerala,Alleppey,Eco Resort Alleppey,luxury,10619,9.593755,76.294935,4.6
Kerala,Alleppey,Boutique Inn Alleppey,luxury,7590,9.616032,76.280208,4.2
Kerala,Alleppey,Eco Lodge Alleppey,mid-range,2267,9.584683,76.288103,4.4
Kerala,Alleppey,Majestic Retreat Alleppey,mid-range,3831,9.579118,76.30038,4.3
Kerala,Alleppey,Classic Hotel Alleppey,mid-range,4494,9.614657,76.299452,4.5
Kerala,Alleppey,Palm Resort Alleppey,mid-range,3201,9.577509,76.282981,4.5
Kerala,Alleppey,Grand Resort Alleppey,luxury,7972,9.588935,76.287464,4.8
Kerala,Alleppey,Boutique Suites Alleppey,luxury,8229,9.605829,76.299348,4.4
Kerala,Alleppey,Premium Inn Alleppey,luxury,8572,9.600155,76.29785,4.9
Kerala,Alleppey,Blue Suites Alleppey,luxury,8440,9.584373,76.304279,4.9
Kerala,Alleppey,Premium Suites Alleppey,mid-range,3386,9.480771,76.318347,3.7
Kerala,Alleppey,Grand Hotel Alleppey,luxury,12715,9.49487,76.300375,4.6
Kerala,Alleppey,Grand Retreat Alleppey,budget,1622,9.490966,76.330479,3.1
Kerala,Alleppey,Boutique Retreat Alleppey,luxury,9248,9.477821,76.326824,5.0
Kerala,Alleppey,Mountain Retreat Alleppey,luxury,10275,9.479844,76.332831,4.4
Kerala,Alleppey,Sunset Hotel Alleppey,mid-range,2036,9.485858,76.312311,3.6
Kerala,Alleppey,Ocean Lodge Alleppey,luxury,9271,9.590324,76.401694,4.1
Kerala,Alleppey,Premium Lodge Alleppey,mid-range,2011,9.587434,76.431197,3.6
Kerala,Alleppey,Mountain Inn Alleppey,budget,1339,9.573791,76.429924,3.9
Kerala,Alleppey,Premium Hotel Alleppey,budget,1070,9.567392,76.412737,3.2
