hotel_id,destination_id,name,price_per_night_INR,rating,latitude,longitude,verified_latitude,verified_longitude,distance_meters,updated
1,1,Taj Falaknuma Palace,23795,5.0,17.405879,78.495579,17.3309283,78.4672623,8824.059857776378,True
2,1,ITC Kohenur,14265,4.6,17.345228,78.519656,17.432179,78.3849981,17244.147927022645,True
3,1,Novotel Hyderabad Airport,4671,3.6,17.39858,78.446777,,,,False
4,1,Park Hyatt Hyderabad,10433,4.6,17.356506,78.469082,17.4247923,78.429606,8643.621152984346,True
5,1,Taj Krishna,14396,4.7,17.366211,78.496767,17.4162107,78.4501794,7424.87582385843,True
6,1,Trident Hyderabad,3547,3.8,17.372973,78.482746,17.4498229,78.3787619,13942.973118112017,True
7,1,Hyderabad Marriott Hotel,4234,4.1,17.374422,78.530191,,,,False
8,1,Sheraton Hyderabad Hotel,3028,3.5,17.394679,78.457047,,,,False
9,1,The Westin Mindspace,3714,3.5,17.424798,78.492396,,,,False
10,1,Lemon Tree Gachibowli,3541,3.8,17.34879,78.503281,17.4229423,78.3307765,20084.460852324046,True
11,2,Hotel Silver Cloud,2890,4.2,17.9788,79.624088,,,,False
12,2,Lotus Residency,1534,4.4,17.94719,79.608727,,,,False
13,2,Sneha Grand Inn,4573,3.9,17.942615,79.600193,,,,False
14,2,Hotel Suprabha,3000,4.5,17.993662,79.633655,,,,False
15,2,Haritha Kakatiya,3481,4.4,17.989354,79.578489,,,,False
16,2,Hotel Ratna,2775,3.5,17.95318,79.584081,17.9881931,79.6003889,4242.804966874137,True
17,2,City Grand Hotel,1837,4.0,17.976708,79.635973,,,,False
18,2,Hotel Shreya,3735,4.0,17.936583,79.621298,,,,False
19,2,Vishnu Residency,1564,3.5,17.962006,79.584639,,,,False
20,2,Landmark Hotel,4195,3.5,17.997292,79.612717,,,,False
21,3,Hotel Nikhil Sai International,3198,4.3,18.682036,78.132467,,,,False
22,3,Hotel Vamshee International,4565,3.6,18.705179,78.105197,,,,False
23,3,Hotel Kapila,4477,3.6,18.660874,78.109296,18.671127,78.1056813,1197.2441971601995,True
24,3,Hotel Mayur,2304,4.2,18.68488,78.128949,,,,False
25,3,Haritha Indur Inn,2460,3.9,18.714954,78.125502,18.6770265,78.1024533,4851.305769149963,True
26,3,Hotel Krishna,2528,4.1,18.696887,78.093542,,,,False
27,3,Hotel Apsara,1892,4.2,18.63748,78.08864,,,,False
28,3,Hotel City Park,2363,4.1,18.655792,78.094871,,,,False
29,3,Hotel Swagath,3257,3.6,18.681898,78.097686,,,,False
30,3,Hotel Nandi,2040,3.7,18.634428,78.075178,,,,False
31,4,Hotel Swetha,4657,4.4,18.449792,79.110407,18.4316845,79.1302904,2903.255077177826,True
32,4,Maitri Residency,4560,4.4,18.46593,79.100591,,,,False
